item,genre,id,name,artist,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
760,Country Gospel,3xx0jE52PbtvwXgNaBUdch,Deeper Than the Holler,Randy Travis,0.647,0.482,5,1,-8.591,0.0262,0.29,0.0,0.232,0.437,142.648,219080
761,Country Gospel,1S4fpfX2u0hzFD9vb6FEB6,Three Wooden Crosses,Randy Travis,0.523,0.501,1,1,-9.276,0.0366,0.459,0.0,0.0818,0.391,158.179,201267
762,Country Gospel,5FIp4LrsffxiHLhmmpCbCx,A Little Bit Stronger,Sara Evans,0.536,0.65,2,1,-5.603,0.0337,0.282,1.16e-06,0.0876,0.288,147.93,301987
763,Country Gospel,6QUEB3DDAD7oJhbIZF2v4Y,I Told You So,Randy Travis,0.615,0.347,9,1,-9.596,0.0259,0.182,0.0,0.125,0.273,78.994,219507
764,Country Gospel,5MkOctZG8LI9uHzpY7ncWj,On the Other Hand,Randy Travis,0.657,0.415,5,1,-9.915,0.025,0.175,5.65e-06,0.132,0.347,96.03,186347
765,Country Gospel,4KM77RUl2IKdXGhtOBbKIS,Sixteen Tons,Tennessee Ernie Ford,0.667,0.25,11,1,-18.533,0.217,0.757,0.0,0.25,0.412,144.145,155902
766,Country Gospel,4rQSLX4qMiUWL81hEQOuPY,"Forever and Ever, Amen",Randy Travis,0.701,0.68,2,1,-8.492,0.0264,0.303,1.51e-05,0.159,0.704,90.607,212587
767,Country Gospel,31lfvDUMzQ3siXemj9G5xV,1982,Randy Travis,0.614,0.53,9,1,-8.129,0.0254,0.0986,1.9e-06,0.09,0.58,108.051,179307
768,Country Gospel,3P6OwCX7Ofiaaqtvujb6i5,Sixteen Tons,Tennessee Ernie Ford,0.693,0.324,11,1,-15.085,0.205,0.796,0.0,0.246,0.382,144.14,158307
769,Country Gospel,0Rg5tIACULED7Jv2sEzWSd,No Place That Far,Sara Evans,0.547,0.373,0,1,-7.336,0.0273,0.504,0.0,0.176,0.182,132.741,217400
770,Country Road,69AIpwGNLxr4qS1X5ynx60,Buy Dirt,Jordan Davis,0.586,0.559,4,1,-6.725,0.05,0.639,0.0,0.0872,0.437,177.945,167480
771,Country Road,200x8ONbPfFzByUr3fVz46,She Had Me At Heads Carolina,Cole Swindell,0.607,0.912,8,1,-3.449,0.0611,0.124,0.0,0.332,0.722,134.944,206107
772,Country Road,0LQtEJt7x0s6knb6RKdRYc,Chicken Fried,Zac Brown Band,0.566,0.713,6,1,-4.25,0.0418,0.645,0.0,0.114,0.805,169.861,238147
773,Country Road,2lNTHWu2I5Tcz9ukWsV5Jj,Next Thing You Know,Jordan Davis,0.557,0.597,5,1,-8.296,0.048,0.646,0.0,0.0974,0.414,78.526,175238
774,Country Road,3xdjjKMcMOFgo1eQrfbogM,Wagon Wheel,Darius Rucker,0.537,0.66,9,1,-7.174,0.0296,0.455,0.0,0.135,0.574,148.096,298373
775,Country Road,0JbSghVDghtFEurrSO8JrC,Country Girl (Shake It For Me),Luke Bryan,0.645,0.904,2,1,-4.532,0.0462,0.0293,0.0,0.0834,0.671,105.97,225560
776,Country Road,5kB6WithhB8Iv08EMNmAbt,Memory Lane,Old Dominion,0.645,0.8,6,1,-4.272,0.0363,0.0189,1.12e-05,0.0858,0.375,118.977,172480
777,Country Road,1brnLTvarI9D1hLP6z2Ar8,Thank God,Kane Brown,0.738,0.455,3,1,-8.735,0.0352,0.695,0.0,0.107,0.441,99.945,174560
778,Country Road,03fT3OHB9KyMtGMt2zwqCT,Play It Again,Luke Bryan,0.506,0.886,11,1,-3.225,0.0655,0.0916,0.0,0.0734,0.595,143.935,226867
779,Country Road,0bPnT6i9H1p8Vd85GS6Z7I,Night Shift,Jon Pardi,0.63,0.754,2,1,-3.564,0.0284,0.0963,0.0,0.268,0.73,95.999,172253
780,Country Rock,200x8ONbPfFzByUr3fVz46,She Had Me At Heads Carolina,Cole Swindell,0.607,0.912,8,1,-3.449,0.0611,0.124,0.0,0.332,0.722,134.944,206107
